seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
1,512,SHEL,small,adi,9657653,16,0,13550363,4,2612130,102562,69270,68570,50120,2572,79,33992,8
1,512,SHEL,small,atax,304227,7,0,357523,4,99331,1481,683,1481,1481,240,14,0,8
1,512,SHEL,small,bicg,246306,5,0,291601,4,114469,843,29,843,843,240,14,0,8
1,512,SHEL,small,cholesky,2966629,8,0,3536267,4,862565,15895,650,13987,8596,478,200,1908,8
1,512,SHEL,small,correlation,3782373,15,0,12797021,4,781451,253356,4673,169351,75482,487,94,84005,8
1,512,SHEL,small,covariance,3755783,10,0,13267831,4,754597,267285,4956,150472,55546,162,6,116813,8
1,512,SHEL,small,deriche,2075032,20,0,5452634,4,308387,84849,40874,83815,76106,20,9,1034,8
1,512,SHEL,small,doitgen,4775638,9,0,4809647,4,1394070,932,928,932,932,2,1,0,8
1,512,SHEL,small,durbin,172786,22,0,174127,4,50013,15,0,0,0,1861,8,0,8
1,512,SHEL,small,fdtd-2d,8174705,14,0,10896927,4,2575499,71473,35900,70246,64858,332,40,1227,8
1,512,SHEL,small,floyd-warshall,88098720,5,0,100353282,4,17510092,344696,320010,344366,338308,0,0,330,8
1,512,SHEL,small,gemm,4104433,6,0,4673681,4,1336584,15818,725,13684,8818,2,1,2134,8
1,512,SHEL,small,gemver,537416,11,0,733730,4,167991,5411,1036,4839,4301,362,169,572,8
1,512,SHEL,small,gesummv,139151,4,0,181690,4,64225,937,26,937,937,362,10,0,8
1,512,SHEL,small,gramschmidt,4839793,14,0,5646128,4,1328168,18232,15648,11888,4863,0,0,6344,8
1,512,SHEL,small,heat-3d,13754691,13,0,16265253,4,3663504,68978,33134,64809,50534,2,0,4169,8
1,512,SHEL,small,jacobi-1d,2173065,133,0,2206490,4,311677,3,0,0,0,44,1,0,8
1,512,SHEL,small,jacobi-2d,12454771,8,0,15066665,4,3644239,72882,39639,71325,64210,1,0,1557,8
1,512,SHEL,small,lu,5862837,7,0,7479675,4,1690356,44664,1043,30901,23590,238,144,13763,8
1,512,SHEL,small,ludcmp,5458470,13,0,7109382,4,1157358,45620,1463,33005,25741,1076,651,12615,8
1,512,SHEL,small,mvt,290196,5,0,375670,4,84281,2359,178,1999,1590,240,15,360,8
1,512,SHEL,small,nussinov,16076574,15,0,23030073,4,2844872,167341,2105,63130,47866,181,12,104211,8
1,512,SHEL,small,seidel-2d,9643209,8,0,11067241,4,2281076,31725,31194,31712,31654,1,0,13,8
1,512,SHEL,small,symm,2386248,7,0,3326521,4,849179,19623,9495,13727,6711,2,0,5896,8
1,512,SHEL,small,syr2k,3573954,6,0,6317614,4,1101679,71203,2419,16040,10543,2,0,55163,8
1,512,SHEL,small,syrk,2397877,4,0,2765457,4,773814,10268,771,4804,3257,2,0,5464,8
1,512,SHEL,small,trisolv,73319,4,0,94837,4,21331,569,68,569,569,242,64,0,8
1,512,SHEL,small,trmm,1488447,6,0,1901910,4,422878,11523,377,4315,1834,1,0,7208,8
1,512,PRL,small,2mm,3195740,8,0,3854909,4,889920,18482,480,13673,10112,2,2,4809,8
1,512,PRL,small,3mm,5483911,11,0,6606994,4,1596829,31471,669,28339,26186,0,0,3132,8
1,512,PRL,small,adi,9656304,15,0,13335960,4,2617556,96856,66350,64591,51987,12,0,32265,8
1,512,PRL,small,atax,304227,7,0,357624,4,99331,1481,683,1481,1481,240,14,0,8
1,512,PRL,small,bicg,246306,5,0,291583,4,114469,843,29,843,843,240,14,0,8
1,512,PRL,small,cholesky,2966629,8,0,3601575,4,860731,17729,611,17729,17729,478,196,0,8
1,512,PRL,small,correlation,3782328,16,0,12075098,4,801739,233068,4319,192683,116559,487,94,40385,8
1,512,PRL,small,covariance,3755750,10,0,12804592,4,767520,254362,4667,168761,74122,162,6,85601,8
1,512,PRL,small,deriche,2074963,19,0,6349251,4,287528,105704,48611,85812,65287,16,4,19892,8
