seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
2,1024,512,512,CLAM,small,covariance,320
2,1024,512,512,CLAM,small,correlation,2293
2,1024,512,512,CLAM,small,trisolv,470
2,1024,512,512,CLAM,small,ludcmp,3988
2,1024,512,512,CLAM,small,bicg,2798
2,1024,512,512,CLAM,small,lu,1639
2,1024,512,512,CLAM,small,seidel-2d,22622
2,1024,512,512,CLAM,small,gesummv,1162
2,1024,512,512,CLAM,small,floyd-warshall,323628
2,1024,512,512,CLAM,small,doitgen,949
2,1024,512,512,CLAM,medium,deriche,542826
2,1024,512,512,CLAM,medium,fdtd-2d,1844973
2,1024,512,512,CLAM,medium,syrk,296764
2,1024,512,512,CLAM,medium,nussinov,1306960
2,1024,512,512,CLAM,medium,durbin,66
2,1024,512,512,CLAM,medium,2mm,848354
2,1024,512,512,CLAM,medium,gramschmidt,361328
2,1024,512,512,CLAM,medium,3mm,1276711
2,1024,512,512,CLAM,medium,adi,1998578
2,1024,512,512,CLAM,medium,symm,586589
2,1024,512,512,CLAM,medium,syr2k,746325
2,1024,512,512,CLAM,medium,cholesky,589877
2,1024,512,512,CLAM,medium,atax,12514
