seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,128,PRL,small,bicg,246304,7,0,5,33554436,105766,9546,4352,33554436,13287,618,87,618,618,17,9,0,8
1,128,PRL,small,cholesky,2966629,8,0,5,33554436,857579,20881,594,33554436,19015,2468,646,2468,2468,131,101,0,8
1,128,PRL,small,correlation,3782327,17,0,5,33554436,557187,477620,4194,33554436,478648,3183,2255,3183,3183,99,38,0,8
1,128,PRL,small,covariance,3755750,10,0,5,33554436,545486,476396,4030,33554436,477427,3009,2374,2993,2781,3,1,16,8
1,128,PRL,small,deriche,2074963,19,0,5,33554436,141446,251786,101440,33554436,330469,22776,10097,15763,13008,14,10,7013,8
1,128,PRL,small,doitgen,4775640,7,0,5,33554436,1392468,2534,1219,33554436,3077,683,578,683,683,3,2,0,8
1,128,PRL,small,durbin,172785,23,0,5,33554436,50013,15,1,33554436,2,37,0,0,0,24,23,0,8
1,128,PRL,small,fdtd-2d,8164866,9,0,5,33554436,2031081,607561,210504,33554436,772497,45577,29564,36258,26173,0,0,9319,8
1,128,PRL,small,floyd-warshall,88117845,4,0,5,33554436,17509793,364119,347420,33554436,394560,316983,295828,316702,307897,2,2,281,8
1,128,PRL,small,gemm,4104433,6,0,5,33554436,1330417,21985,541,33554436,21951,581,311,581,581,1,1,0,8
1,128,PRL,small,gemver,537491,12,0,5,33554436,159366,14036,1320,33554436,13359,2009,969,1939,1891,118,102,70,8
1,128,PRL,small,gesummv,139151,4,0,5,33554436,60321,4841,3200,33554436,7381,664,102,664,664,15,1,0,8
1,128,PRL,small,gramschmidt,4839797,10,0,5,33554436,1315642,30758,20906,33554436,50832,842,708,842,842,201,128,0,8
1,128,PRL,small,heat-3d,13753576,11,0,5,33554436,3659681,72801,33210,33554436,57626,48396,29103,35897,33864,44,33,12499,8
1,128,PRL,small,jacobi-1d,2171357,1841,0,5,33554436,311677,3,0,33554436,1747,97,0,0,0,3,3,0,8
1,128,PRL,small,jacobi-2d,12453890,9,0,5,33554436,3636880,80241,39750,33554436,62128,57872,36896,41701,37460,107,30,16171,8
1,128,PRL,small,lu,5859950,7,0,5,33554436,1664420,70600,958,33554436,67180,4385,1074,4385,4385,2,2,0,8
1,128,PRL,small,ludcmp,5455572,12,0,5,33554436,1131076,71664,982,33554436,69525,3133,1109,3110,2846,119,117,23,8
1,128,PRL,small,mvt,290175,4,0,5,33554436,82307,4333,205,33554436,3448,1094,208,1094,1094,8,6,0,8
1,128,PRL,small,nussinov,16076703,15,0,5,33554436,2725419,286794,1271,33554436,247798,40282,1563,35377,34740,3,3,4905,8
1,128,PRL,small,seidel-2d,9643209,8,0,5,33554436,2276800,36001,35447,33554436,48925,22531,21943,22531,22531,45,45,0,8
1,128,PRL,small,symm,2386248,7,0,5,33554436,829607,39195,15814,33554436,51032,3984,1050,3984,3984,1,1,0,8
