seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,128,PRL,medium,doitgen,74304235,9,0,5,33554436,17466896,4493108,21660,33554436,4507465,7312,7298,7312,7312,4,3,0,8
1,128,PRL,medium,durbin,1844815,23,0,5,33554436,558661,49,2,33554436,3,71,0,0,0,59,56,0,8
1,128,PRL,medium,fdtd-2d,205704126,9,0,5,33554436,51338701,15469901,5356164,33554436,18721886,2104188,900330,1694407,1017282,0,0,409781,8
1,128,PRL,medium,floyd-warshall,1884921847,4,0,5,33554436,375107938,7811895,7685344,33554436,7797305,7699938,7548098,7697083,7309297,2,2,2855,8
1,128,PRL,medium,gemm,127457413,6,0,5,33554436,41652396,675606,7634,33554436,111986,571260,4500,571255,571246,1,1,5,8
1,128,PRL,medium,gemver,5935613,11,0,5,33554436,1684951,237051,12763,33554436,219446,30379,10392,29872,27107,83,82,507,8
1,128,PRL,medium,gesummv,1066511,4,0,5,33554436,477114,23888,10160,33554436,26467,7585,154,7585,7585,15,1,0,8
1,128,PRL,medium,gramschmidt,144281270,14,0,5,33554436,17241796,23102204,5793552,33554436,28496802,398968,381291,364068,353822,2,2,34900,8
1,128,PRL,medium,heat-3d,322407515,14,0,5,33554436,85420000,2968002,739100,33554436,2200318,1506798,729833,1486144,1227185,36,8,20654,8
1,128,PRL,medium,jacobi-1d,18164859,6039,0,5,33554436,2617444,9856,3222,33554436,19019,98,0,0,0,312,4,0,8
1,128,PRL,medium,jacobi-2d,246462710,9,0,5,33554436,72248200,1556601,775280,33554436,825200,1506690,774567,1459723,1086143,103,97,46967,8
1,128,PRL,medium,lu,214449588,9,0,5,33554436,47852917,16226483,10042,33554436,14776766,1459768,10236,1045134,1009529,2,2,414634,8
1,128,PRL,medium,ludcmp,194877949,15,0,5,33554436,26909714,16318086,86010,33554436,14873359,1530752,10676,932418,895615,191,119,598334,8
1,128,PRL,medium,mvt,3207215,4,0,5,33554436,780124,180676,399,33554436,150798,30281,543,30281,30281,93,25,0,8
